customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,tenure_months_final,monthly_spend,binge_index,value_score,price_per_profile,inactivity_score,watch_intensity,engagement_score,subscription_tier,is_low_engagement,is_high_inactivity,is_price_sensitive,spend_source_col,r_score,f_score,m_score,rfm_score,rfm_segment,rfm_label,matched_genre,genre_title_count,genre_avg_release_year,genre_avg_rating_score,genre_avg_duration_minutes,genre_avg_seasons,genre_movie_ratio,segment,segment_label,churn_probability,risk_bucket,clv_proxy,retention_priority,recommended_action
fd689478-3167-465d-b35c-2f2238dec6b1,31,other,premium,16.79,42,europe,tablet,17.99,1,gift card,1,0.39,drama,0.0,17.99,0.3904651162790697,0.9332962757087272,17.99,3.7612001156935615,6.5481,0.6584027141161821,3,0,0,0,monthly_fee,2,4,5,11,245,Loyal,drama,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9929951351945115,high,21.105685099566056,1.3484091642257539,Personal outreach + 2-month discount + curated recommendations
8779474b-9c48-4042-ae79-b30c1e583e5d,18,other,premium,17.01,43,south america,desktop,17.99,1,paypal,2,0.39,drama,0.0,17.99,0.3865909090909091,0.945525291828794,8.995,3.784189633918261,6.633900000000001,0.6593356063507969,3,0,0,0,monthly_fee,2,4,4,10,244,Loyal,drama,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9828527051342918,high,21.10904013344154,1.3348487017522395,Personal outreach + 2-month discount + curated recommendations
c42c3176-bb7e-411d-a769-0b2ad9e8ed2a,58,female,premium,16.33,43,europe,laptop,17.99,1,gift card,1,0.37,comedy,0.0,17.99,0.3711363636363636,0.9077265147304058,17.99,3.784189633918261,6.0421,0.6369434288377411,3,0,0,0,monthly_fee,2,4,5,11,245,Loyal,comedy,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9823443640419539,high,21.027511343410676,1.3290054266860565,Personal outreach + 2-month discount + curated recommendations
905edc2c-831c-4d3a-90e1-c80fd7f63a97,29,female,premium,15.26,49,north america,tablet,17.99,1,credit card,1,0.31,sci-fi,0.0,17.99,0.3051999999999999,0.8482490272373542,17.99,3.912023005428146,4.7306,0.567023543792791,3,0,1,0,monthly_fee,1,4,5,10,145,Loyal,sci-fi,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9947052592488583,high,20.759578503367525,1.3285810882500737,Personal outreach + 2-month discount + curated recommendations
992f57db-5fda-457c-84f3-deb78b71d38d,35,other,premium,14.56,45,oceania,tv,17.99,1,crypto,3,0.32,romance,0.0,17.99,0.3165217391304348,0.8093385214007783,5.996666666666666,3.828641396489095,4.6592,0.5665594119491892,3,0,0,0,monthly_fee,2,4,4,10,244,Loyal,romance,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9947671519382321,high,20.757732798495343,1.3285456257855872,Personal outreach + 2-month discount + curated recommendations
9ab81da7-21f5-4a76-9bd4-10a78fe5ae0a,53,male,premium,16.53,43,europe,mobile,17.99,1,gift card,1,0.38,romance,0.0,17.99,0.3756818181818182,0.9188438021122848,17.99,3.784189633918261,6.2814000000000005,0.6446524624454517,3,0,0,0,monthly_fee,2,4,4,10,244,Loyal,romance,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.980327914372738,high,21.05581460939139,1.3280625731234803,Personal outreach + 2-month discount + curated recommendations
32c0a4d8-3699-4f09-907b-5f303f8274c1,38,female,premium,15.94,54,oceania,desktop,17.99,1,crypto,2,0.29,action,0.0,17.99,0.2898181818181818,0.8860478043357422,8.995,4.007333185232471,4.622599999999999,0.5610130995350178,3,0,1,0,monthly_fee,1,4,4,9,144,Loyal,action,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9953098489973202,high,20.7356089247618,1.3278536618325236,Personal outreach + 2-month discount + curated recommendations
916d87c9-3f88-4f0e-98ee-0f27d8e62b0a,58,male,premium,15.91,49,south america,mobile,17.99,1,gift card,1,0.32,drama,0.0,17.99,0.3182,0.8843802112284603,17.99,3.912023005428146,5.0912,0.5873238300334885,3,0,1,0,monthly_fee,1,4,5,10,145,Loyal,drama,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9889402694095902,high,20.83944409955759,1.325962714128916,Personal outreach + 2-month discount + curated recommendations
4b1e6601-b97e-479b-b01c-5228f3c6681e,47,other,premium,14.24,37,africa,tablet,17.99,1,gift card,2,0.37,documentary,0.0,17.99,0.3747368421052631,0.7915508615897722,8.995,3.6375861597263857,5.2688,0.6084321246150597,3,0,0,0,monthly_fee,2,4,4,10,244,Loyal,documentary,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9843792890429548,high,20.920692376437554,1.3249931767026482,Personal outreach + 2-month discount + curated recommendations
18fdd87e-1221-4b90-a8ac-c80d74f6511f,22,other,premium,17.85,46,south america,tv,17.99,1,paypal,2,0.38,romance,0.0,17.99,0.3797872340425532,0.992217898832685,8.995,3.8501476017100575,6.783,0.6641305156194868,3,0,1,0,monthly_fee,2,4,5,11,245,Loyal,romance,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk,0.9742520595503424,high,21.126227392550916,1.324245186809527,Personal outreach + 2-month discount + curated recommendations
