customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,tenure_months_final,monthly_spend,binge_index,value_score,price_per_profile,inactivity_score,watch_intensity,engagement_score,subscription_tier,is_low_engagement,is_high_inactivity,is_price_sensitive,spend_source_col,r_score,f_score,m_score,rfm_score,rfm_segment,rfm_label,matched_genre,genre_title_count,genre_avg_release_year,genre_avg_rating_score,genre_avg_duration_minutes,genre_avg_seasons,genre_movie_ratio,segment,segment_label
a9b75100-82a8-427a-a208-72f24052884a,51,other,basic,14.73,29,africa,tv,8.99,1,gift card,1,0.49,action,0.0,8.99,0.491,1.6384872080088988,8.99,3.4011973816621555,7.2177,0.6993385383342314,1,0,0,0,monthly_fee,3,4,1,8,341,Regular,action,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,3,Engaged Low-Spend
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,47,other,standard,0.7,19,europe,mobile,13.99,1,gift card,5,0.03,sci-fi,0.0,13.99,0.0349999999999999,0.0500357398141529,2.798,2.995732273553991,0.0209999999999999,-0.350018160948281,2,1,0,1,monthly_fee,4,1,2,7,412,New / Low Value,sci-fi,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,0,Low Engagement / Budget
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,27,female,standard,16.32,10,asia,tv,13.99,0,crypto,2,1.48,drama,0.0,13.99,1.4836363636363636,1.1665475339528235,6.995,2.3978952727983707,24.1536,1.1216492979126678,2,0,0,0,monthly_fee,5,4,2,11,542,Potential Loyalist,drama,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,3,Engaged Low-Spend
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,53,other,premium,4.51,12,oceania,tv,17.99,1,crypto,2,0.35,horror,0.0,17.99,0.3469230769230769,0.2506948304613674,8.995,2.5649493574615367,1.5784999999999998,0.3600008162894813,3,0,0,0,monthly_fee,5,2,4,11,524,Potential Loyalist,horror,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk
4e265c34-103a-4dbb-9553-76c9aa47e946,56,other,standard,1.89,13,africa,mobile,13.99,1,crypto,2,0.13,action,0.0,13.99,0.1349999999999999,0.135096497498213,6.995,2.6390573296152584,0.2457,-0.0074698685136112,2,1,0,1,monthly_fee,4,1,2,7,412,New / Low Value,action,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,0,Low Engagement / Budget
d8079475-5be7-47e9-8782-ceb7ff61395e,58,female,standard,13.8,26,oceania,mobile,13.99,0,debit card,3,0.51,action,0.0,13.99,0.5111111111111112,0.9864188706218728,4.663333333333333,3.295836866004329,7.038,0.6976532359350567,2,0,0,0,monthly_fee,3,4,2,9,342,Regular,action,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,0,Low Engagement / Budget
8e63450a-13d6-4e83-bbb5-6aebde9152cb,48,other,basic,13.83,20,asia,tv,8.99,0,gift card,5,0.66,romance,0.0,8.99,0.6585714285714286,1.5383759733036708,1.798,3.044522437723423,9.1278,0.7819751435517021,1,0,0,0,monthly_fee,4,4,1,9,441,Potential Loyalist,romance,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,3,Engaged Low-Spend
02387681-8c42-462a-807a-de0168c73b38,51,male,basic,14.3,56,europe,mobile,8.99,1,gift card,1,0.25,action,0.0,8.99,0.2508771929824561,1.5906562847608454,8.99,4.04305126783455,3.575,0.4970237621723387,1,0,1,0,monthly_fee,1,4,1,6,141,At Risk,action,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,3,Engaged Low-Spend
0bcaad0c-545c-4ee1-85a6-75e165f39361,45,other,basic,9.98,10,asia,mobile,8.99,0,paypal,3,0.91,romance,0.0,8.99,0.9072727272727272,1.110122358175751,2.9966666666666666,2.3978952727983707,9.0818,0.8251410263974375,1,0,0,0,monthly_fee,5,3,1,9,531,Potential Loyalist,romance,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,3,Engaged Low-Spend
eae6439e-8cdf-4258-ab49-c493925b927a,32,other,premium,2.22,34,europe,tv,17.99,1,debit card,1,0.06,drama,0.0,17.99,0.0634285714285714,0.1234018899388549,17.99,3.555348061489413,0.1332,-0.1644538826541486,3,1,0,1,monthly_fee,3,1,4,8,314,Big Spender,drama,248.0,2015.701749271137,3.917362287014499,98.0,1.1324503311258278,0.0,2,High-Value At-Risk
